Parent_Code,Parent_Label,Parent_ValidFrom,Parent_ValidTo,Parent_IsTarget,Child_Code,Child_Label,Child_ValidFrom,Child_ValidTo,Child_IsTarget
2711,"BRICS",1940,2102,False,076,"Brazil",1940,2102,True
2711,"BRICS",1940,2102,False,156,"China",1940,2102,True
2711,"BRICS",1940,2102,False,231,"Ethiopia",1992,2102,True
2711,"BRICS",1940,2102,False,2711u,"BRICS n.e.s.",1940,2102,False
2711,"BRICS",1940,2102,False,356,"India",1940,2102,True
2711,"BRICS",1940,2102,False,360,"Indonesia",2003,2102,True
2711,"BRICS",1940,2102,False,364,"Iran (Islamic Republic of)",1940,2102,True
2711,"BRICS",1940,2102,False,643,"Russian Federation",1992,2102,True
2711,"BRICS",1940,2102,False,710,"South Africa",1940,2102,True
2711,"BRICS",1940,2102,False,784,"United Arab Emirates",1940,2102,True
2711,"BRICS",1940,2102,False,810,"Union of Soviet Socialist Republics",1940,1991,True
2711,"BRICS",1940,2102,False,818,"Egypt",1940,2102,True
2711,"BRICS",1940,2102,False,960,"Indonesia (...2002)",1940,2002,True
1600,"Developing economies excluding China",1940,2102,False,004,"Afghanistan",1940,2102,True
1612,"LDCs: Asia",1940,2102,False,004,"Afghanistan",1940,2102,True
1620,"LLDCs (Landlocked developing countries)",1940,2102,False,004,"Afghanistan",1940,2102,True
1432,"Developing economies: Southern Asia",1940,2102,False,004,"Afghanistan",1940,2102,True
1540,"Developed economies: Europe",1940,2102,False,008,"Albania",1940,2102,True
1600,"Developing economies excluding China",1940,2102,False,012,"Algeria",1940,2102,True
1601,"Developing economies excluding LDCs",1940,2102,False,012,"Algeria",1940,2102,True
1411,"Developing economies: Northern Africa",1940,2102,False,012,"Algeria",1940,2102,True
1600,"Developing economies excluding China",1940,2102,False,016,"American Samoa",1940,2102,True
1601,"Developing economies excluding LDCs",1940,2102,False,016,"American Samoa",1940,2102,True
1450,"Developing economies: Oceania",1940,2102,False,016,"American Samoa",1940,2102,True
1643,"SIDS: Pacific",1940,2102,False,016,"American Samoa",1940,2102,True
1540,"Developed economies: Europe",1940,2102,False,020,"Andorra",1940,2102,True
1600,"Developing economies excluding China",1940,2102,False,024,"Angola",1940,2102,True
1614,"LDCs: Africa",1940,2102,False,024,"Angola",1940,2102,True
1412,"Developing economies: Sub-Saharan Africa",1940,2102,False,024,"Angola",1940,2102,True
1600,"Developing economies excluding China",1940,2102,False,028,"Antigua and Barbuda",1940,2102,True
1601,"Developing economies excluding LDCs",1940,2102,False,028,"Antigua and Barbuda",1940,2102,True
1420,"Developing economies: Americas",1940,2102,False,028,"Antigua and Barbuda",1940,2102,True
1642,"SIDS: Caribbean",1940,2102,False,028,"Antigua and Barbuda",1940,2102,True
1600,"Developing economies excluding China",1940,2102,False,031,"Azerbaijan",1992,2102,True
1601,"Developing economies excluding LDCs",1940,2102,False,031,"Azerbaijan",1992,2102,True
1620,"LLDCs (Landlocked developing countries)",1940,2102,False,031,"Azerbaijan",1992,2102,True
1434,"Developing economies: Western Asia",1940,2102,False,031,"Azerbaijan",1992,2102,True
1600,"Developing economies excluding China",1940,2102,False,032,"Argentina",1940,2102,True
1601,"Developing economies excluding LDCs",1940,2102,False,032,"Argentina",1940,2102,True
1420,"Developing economies: Americas",1940,2102,False,032,"Argentina",1940,2102,True
1550,"Developed economies: Oceania",1940,2102,False,036,"Australia",1940,2102,True
1540,"Developed economies: Europe",1940,2102,False,040,"Austria",1940,2102,True
1600,"Developing economies excluding China",1940,2102,False,044,"Bahamas",1940,2102,True
1601,"Developing economies excluding LDCs",1940,2102,False,044,"Bahamas",1940,2102,True
1420,"Developing economies: Americas",1940,2102,False,044,"Bahamas",1940,2102,True
