Parent_Code,Parent_Label,Child_Code,Child_Label
2711,BRICS,076,Brazil
2711,BRICS,156,China
2711,BRICS,231,Ethiopia
2711,BRICS,2711u,BRICS n.e.s.
2711,BRICS,356,India
2711,BRICS,360,Indonesia
2711,BRICS,364,Iran (Islamic Republic of)
2711,BRICS,643,Russian Federation
2711,BRICS,710,South Africa
2711,BRICS,784,United Arab Emirates
2711,BRICS,810,Union of Soviet Socialist Republics
2711,BRICS,818,Egypt
2711,BRICS,960,Indonesia (...2002)
1600,Developing economies excluding China,004,Afghanistan
1612,LDCs: Asia,004,Afghanistan
1620,LLDCs (Landlocked developing countries),004,Afghanistan
1432,Developing economies: Southern Asia,004,Afghanistan
1540,Developed economies: Europe,008,Albania
1600,Developing economies excluding China,012,Algeria
1601,Developing economies excluding LDCs,012,Algeria
1411,Developing economies: Northern Africa,012,Algeria
1600,Developing economies excluding China,016,American Samoa
1601,Developing economies excluding LDCs,016,American Samoa
1450,Developing economies: Oceania,016,American Samoa
1643,SIDS: Pacific,016,American Samoa
1540,Developed economies: Europe,020,Andorra
1600,Developing economies excluding China,024,Angola
1614,LDCs: Africa,024,Angola
1412,Developing economies: Sub-Saharan Africa,024,Angola
1600,Developing economies excluding China,028,Antigua and Barbuda
1601,Developing economies excluding LDCs,028,Antigua and Barbuda
1420,Developing economies: Americas,028,Antigua and Barbuda
1642,SIDS: Caribbean,028,Antigua and Barbuda
1600,Developing economies excluding China,031,Azerbaijan
1601,Developing economies excluding LDCs,031,Azerbaijan
1620,LLDCs (Landlocked developing countries),031,Azerbaijan
1434,Developing economies: Western Asia,031,Azerbaijan
1600,Developing economies excluding China,032,Argentina
1601,Developing economies excluding LDCs,032,Argentina
1420,Developing economies: Americas,032,Argentina
1550,Developed economies: Oceania,036,Australia
1540,Developed economies: Europe,040,Austria
1600,Developing economies excluding China,044,Bahamas
1601,Developing economies excluding LDCs,044,Bahamas
1420,Developing economies: Americas,044,Bahamas
1642,SIDS: Caribbean,044,Bahamas
1600,Developing economies excluding China,048,Bahrain
1601,Developing economies excluding LDCs,048,Bahrain
1434,Developing economies: Western Asia,048,Bahrain
1600,Developing economies excluding China,050,Bangladesh
1612,LDCs: Asia,050,Bangladesh
1432,Developing economies: Southern Asia,050,Bangladesh
1600,Developing economies excluding China,051,Armenia
1601,Developing economies excluding LDCs,051,Armenia
1620,LLDCs (Landlocked developing countries),051,Armenia
1434,Developing economies: Western Asia,051,Armenia
1600,Developing economies excluding China,052,Barbados
1601,Developing economies excluding LDCs,052,Barbados
1420,Developing economies: Americas,052,Barbados
1642,SIDS: Caribbean,052,Barbados
1540,Developed economies: Europe,056,Belgium
1520,Developed economies: Americas,060,Bermuda
