Year,Country,CountryCode,Variable,VariableCode,UnconsolidatedVariableCode,UnconsolidatedVariableName,Value,UnitType,Metadata
1990,"China, Taiwan Province",158,"GDP (Gross Domestic Product), constant 2015 USD",GdpCod,GdpCod,"GDP (Gross Domestic Product), constant 2015 USD",1.60546999854667E11,$,
1991,"China, Taiwan Province",158,"GDP (Gross Domestic Product), constant 2015 USD",GdpCod,GdpCod,"GDP (Gross Domestic Product), constant 2015 USD",1.73984886951361E11,$,
1992,"China, Taiwan Province",158,"GDP (Gross Domestic Product), constant 2015 USD",GdpCod,GdpCod,"GDP (Gross Domestic Product), constant 2015 USD",1.88433512468372E11,$,
1993,"China, Taiwan Province",158,"GDP (Gross Domestic Product), constant 2015 USD",GdpCod,GdpCod,"GDP (Gross Domestic Product), constant 2015 USD",2.01281031680274E11,$,
1994,"China, Taiwan Province",158,"GDP (Gross Domestic Product), constant 2015 USD",GdpCod,GdpCod,"GDP (Gross Domestic Product), constant 2015 USD",2.16391988333893E11,$,
1995,"China, Taiwan Province",158,"GDP (Gross Domestic Product), constant 2015 USD",GdpCod,GdpCod,"GDP (Gross Domestic Product), constant 2015 USD",2.30452991468168E11,$,
1996,"China, Taiwan Province",158,"GDP (Gross Domestic Product), constant 2015 USD",GdpCod,GdpCod,"GDP (Gross Domestic Product), constant 2015 USD",2.44674904969209E11,$,
1997,"China, Taiwan Province",158,"GDP (Gross Domestic Product), constant 2015 USD",GdpCod,GdpCod,"GDP (Gross Domestic Product), constant 2015 USD",2.59488626630296E11,$,
1998,"China, Taiwan Province",158,"GDP (Gross Domestic Product), constant 2015 USD",GdpCod,GdpCod,"GDP (Gross Domestic Product), constant 2015 USD",2.70404110118148E11,$,
1999,"China, Taiwan Province",158,"GDP (Gross Domestic Product), constant 2015 USD",GdpCod,GdpCod,"GDP (Gross Domestic Product), constant 2015 USD",2.8861199589978E11,$,
2000,"China, Taiwan Province",158,"GDP (Gross Domestic Product), constant 2015 USD",GdpCod,GdpCod,"GDP (Gross Domestic Product), constant 2015 USD",3.06828054741385E11,$,
