Series,Country,Year,Period,NAComponent,Measure,Source,DataSource,Value,DataStatus,DataConfidentiality,CommentEN,CommentFR,CommentConfidentiality,RefDate
5100,004,1970,A00,00,0940,0101,4809,10576159440,00,0,NA,NA,0,26-Aug-25
5100,004,1970,A00,00,0100,0101,4809,1748886597,00,0,NA,NA,0,26-Aug-25
5100,004,1971,A00,00,0940,0101,4809,10546999961,00,0,NA,NA,0,26-Aug-25
5100,004,1971,A00,00,0100,0101,4809,1831108982,00,0,NA,NA,0,26-Aug-25
5100,004,1972,A00,00,0940,0101,4809,8817163363,00,0,NA,NA,0,26-Aug-25
5100,004,1972,A00,00,0100,0101,4809,1595555482,00,0,NA,NA,0,26-Aug-25
5100,004,1973,A00,00,0940,0101,4809,9072494885,00,0,NA,NA,0,26-Aug-25
5100,004,1973,A00,00,0100,0101,4809,1733333275,00,0,NA,NA,0,26-Aug-25
5100,004,1974,A00,00,0940,0101,4809,9567219858,00,0,NA,NA,0,26-Aug-25
5100,004,1974,A00,00,0100,0101,4809,2155555500,00,0,NA,NA,0,26-Aug-25
5100,004,1975,A00,00,0940,0101,4809,10160889826,00,0,NA,NA,0,26-Aug-25
5100,004,1975,A00,00,0100,0101,4809,2366666613,00,0,NA,NA,0,26-Aug-25
5100,004,1976,A00,00,0940,0101,4809,10716504026,00,0,NA,NA,0,26-Aug-25
5100,004,1976,A00,00,0100,0101,4809,2555555571,00,0,NA,NA,0,26-Aug-25
5100,004,1977,A00,00,0940,0101,4809,10176112132,00,0,NA,NA,0,26-Aug-25
5100,004,1977,A00,00,0100,0101,4809,2953333408,00,0,NA,NA,0,26-Aug-25
5100,004,1978,A00,00,0940,0101,4809,10929616322,00,0,NA,NA,0,26-Aug-25
5100,004,1978,A00,00,0100,0101,4809,3300000103,00,0,NA,NA,0,26-Aug-25
5100,004,1979,A00,00,0940,0101,4809,10648003645,00,0,NA,NA,0,26-Aug-25
5100,004,1979,A00,00,0100,0101,4809,3697940356,00,0,NA,NA,0,26-Aug-25
5100,004,1980,A00,00,0940,0101,4809,10252223667,00,0,NA,NA,0,26-Aug-25
5100,004,1980,A00,00,0100,0101,4809,3641723443,00,0,NA,NA,0,26-Aug-25
5100,004,1981,A00,00,0940,0101,4809,10472947116,00,0,NA,NA,0,26-Aug-25
5100,004,1981,A00,00,0100,0101,4809,3478787916,00,0,NA,NA,0,26-Aug-25
5100,004,1982,A00,00,0940,0101,4809,10686059412,00,0,NA,NA,0,26-Aug-25
5100,004,1982,A00,00,0100,0101,4809,3438884594,00,0,NA,NA,0,26-Aug-25
5100,004,1983,A00,00,0940,0101,4809,11211228998,00,0,NA,NA,0,26-Aug-25
5100,004,1983,A00,00,0100,0101,4809,3399439011,00,0,NA,NA,0,26-Aug-25
5100,004,1984,A00,00,0940,0101,4809,11416730141,00,0,NA,NA,0,26-Aug-25
5100,004,1984,A00,00,0100,0101,4809,3360445864,00,0,NA,NA,0,26-Aug-25
5100,004,1985,A00,00,0940,0101,4809,11447174755,00,0,NA,NA,0,26-Aug-25
5100,004,1985,A00,00,0100,0101,4809,3321900002,00,0,NA,NA,0,26-Aug-25
5100,004,1986,A00,00,0940,0101,4809,11789676659,00,0,NA,NA,0,26-Aug-25
5100,004,1986,A00,00,0100,0101,4809,3320599991,00,0,NA,NA,0,26-Aug-25
5100,004,1987,A00,00,0940,0101,4809,10579503264,00,0,NA,NA,0,26-Aug-25
5100,004,1987,A00,00,0100,0101,4809,2887499993,00,0,NA,NA,0,26-Aug-25
5100,004,1988,A00,00,0940,0101,4809,9704220620,00,0,NA,NA,0,26-Aug-25
5100,004,1988,A00,00,0100,0101,4809,2664299991,00,0,NA,NA,0,26-Aug-25
5100,004,1989,A00,00,0940,0101,4809,9019216811,00,0,NA,NA,0,26-Aug-25
5100,004,1989,A00,00,0100,0101,4809,3342200002,00,0,NA,NA,0,26-Aug-25
5100,004,1990,A00,00,0940,0101,4809,8737604135,00,0,NA,NA,0,26-Aug-25
5100,004,1990,A00,00,0100,0101,4809,3621600007,00,0,NA,NA,0,26-Aug-25
5100,004,1991,A00,00,0940,0101,4809,7782530111,00,0,NA,NA,0,26-Aug-25
5100,004,1991,A00,00,0100,0101,4809,3340100005,00,0,NA,NA,0,26-Aug-25
5100,004,1992,A00,00,0940,0101,4809,7908178980,00,0,NA,NA,0,26-Aug-25
5100,004,1992,A00,00,0100,0101,4809,3474600007,00,0,NA,NA,0,26-Aug-25
5100,004,1993,A00,00,0940,0101,4809,5933907017,00,0,NA,NA,0,26-Aug-25
5100,004,1993,A00,00,0100,0101,4809,2664399992,00,0,NA,NA,0,26-Aug-25
5100,004,1994,A00,00,0940,0101,4809,4612948016,00,0,NA,NA,0,26-Aug-25
5100,004,1994,A00,00,0100,0101,4809,2114600000,00,0,NA,NA,0,26-Aug-25
5100,004,1995,A00,00,0940,0101,4809,6916405187,00,0,NA,NA,0,26-Aug-25
5100,004,1995,A00,00,0100,0101,4809,3236300000,00,0,NA,NA,0,26-Aug-25
5100,004,1996,A00,00,0940,0101,4809,6551889478,00,0,NA,NA,0,26-Aug-25
5100,004,1996,A00,00,0100,0101,4809,3124359411,00,0,NA,NA,0,26-Aug-25
5100,004,1997,A00,00,0940,0101,4809,6215059222,00,0,NA,NA,0,26-Aug-25
5100,004,1997,A00,00,0100,0101,4809,3016290743,00,0,NA,NA,0,26-Aug-25
5100,004,1998,A00,00,0940,0101,4809,5932974168,00,0,NA,NA,0,26-Aug-25
5100,004,1998,A00,00,0100,0101,4809,2911960069,00,0,NA,NA,0,26-Aug-25
5100,004,1999,A00,00,0940,0101,4809,5645026267,00,0,NA,NA,0,26-Aug-25
5100,004,1999,A00,00,0100,0101,4809,2719992175,00,0,NA,NA,0,26-Aug-25
5100,004,2000,A00,00,0940,0101,4809,5334356981,00,0,NA,NA,0,26-Aug-25
